X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location,Route,Route_Dir,Shelter,Bench,Schedule,Light,Reaitime,PK_MD_WE
-89.302917054712537,43.142521515462015,4121,9396,9396,Hayes & Morningside (WB),This stop (#9396) is westbound on the 4652 block of Hayes Rd opposite Morningside/green Apts,43.142519,-89.302918,MMT,CMAD,0,,4,270,1,Hayes,4652,Morningside,6,,0,1,0,0,0,111
-89.330487112006679,43.113964453177765,4122,9405,9405,Wright & E Washington (NB),This stop (#9405) is northbound on the 1401 block of Wright St farside E Washington Ave,43.113962,-89.330488,MMT,CMAD,0,,1,0,1,Wright,1401,E Washington,"6, 20, 34",,0,0,1,0,0,111
-89.290477077993529,43.13435252566331,4123,9412,9412,Crossroads & 2810 (SB),This stop (#9412) is southbound on the 2910 block of Crossroads Dr adjacent 2810 Crossroads Driveway,43.13435,-89.290478,MMT,CMAD,0,,2,180,1,Crossroads,2910,2810,26,,0,0,0,0,0,111
-89.296350126864013,43.111939497090241,4124,9420,9420,N Thompson & Golden Leaf (SB),This stop (#9420) is southbound on the 920 block of Thompson Dr (N) nearside Golden Leaf Trl,43.111937,-89.296351,MMT,CMAD,0,,3,180,1,N Thompson,920,Golden Leaf,30,,0,0,0,0,0,111
-89.307341087213274,43.127492495941873,4125,9422,9422,East Towne & Independence (WB),This stop (#9422) is westbound on the 4500 block of East Towne Blvd nearside Independence Ln,43.12749,-89.307342,MMT,CMAD,0,,3,270,1,East Towne,4500,Independence,"26, 36",,0,0,0,0,0,111
-89.300459104693829,43.121165499992294,4126,9432,9432,Lien & Zeier (WB),This stop (#9432) is westbound on the 4698 block of Lien Rd farside Zeier Rd,43.121163,-89.30046,MMT,CMAD,0,,1,270,1,Lien,4698,Zeier,30,,0,0,0,0,0,111
-89.329503096964928,43.120240459469095,4127,9438,9438,Anderson & Wright (WB),This stop (#9438) is westbound on the 3400 block of Anderson St nearside Wright St,43.120238,-89.329504,MMT,CMAD,0,,3,270,1,Anderson,3400,Wright,20,,0,0,1,0,0,111
-89.298764133822644,43.108628490641422,4128,9439,9439,N Thompson & Jana (NB),This stop (#9439) is northbound on the 801 block of Thompson Dr (N) farside Jana Ln,43.108626,-89.298765,MMT,CMAD,0,,1,0,1,N Thompson,801,Jana,30,,0,0,0,0,0,111
-89.310210089700917,43.126125490677424,4129,9442,9442,Eagan & E Washington (SB),This stop (#9442) is southbound on the 1798 block of Eagan Rd farside E Washington Ave,43.126123,-89.310211,MMT,CMAD,0,,1,180,1,Eagan,1798,E Washington,6,,0,0,0,0,0,111
-89.312649078089677,43.130550490752441,4130,9463,9463,Melody & Stuart (EB),This stop (#9463) is eastbound on the 4199 block of Melody Ln nearside Stuart Ct,43.130548,-89.31265,MMT,CMAD,0,,3,90,0,Melody,4199,Stuart,6,,0,0,0,0,0,111
